,name,place_id,business_status,location,raiting,price_level,total_reviews,direction
0,Restaurante Ca l' Anglés,ChIJ-f-GR4OYpBIRVld4k1oJSU8,OPERATIONAL,"{'lat': 41.372207, 'lng': 2.1412035}",4.5,1.0,269,"Carrer de Gavà, 20, Barcelona"
1,Gava Restaurant,ChIJtVkvUoOYpBIRwr5RzK5Nc6A,OPERATIONAL,"{'lat': 41.3717264, 'lng': 2.1406298}",3.4,,7,"Carrer de Gavà, 40, Barcelona"
2,MONGOLIAN BBQ,ChIJbcvhLoqZpBIRJ0vf4C7mqV4,OPERATIONAL,"{'lat': 41.3714614, 'lng': 2.1432584}",4.8,,148,"C. de Sant Pere d'Abanto, 7, Barcelona"
3,Thai Erawan BCN,ChIJ4fZrEqOZpBIRaGLoKbubz28,OPERATIONAL,"{'lat': 41.3719322, 'lng': 2.1429652}",4.7,,356,"C. de Sant Pere d'Abanto, 16, Barcelona"
4,Mq Restaurante Bar,ChIJIeFC2JyYpBIR617Wuxadjog,OPERATIONAL,"{'lat': 41.3704338, 'lng': 2.1424385}",3.9,1.0,310,"Carrer del Moianès, 2, Barcelona"
5,Los Mundiales,ChIJ2QTpN52YpBIRjZOYIDY61Vw,OPERATIONAL,"{'lat': 41.3707231, 'lng': 2.1438671}",3.8,1.0,97,"Gran Via de les Corts Catalanes, 264, Barcelona"
6,Brera Gnocchi Bar,ChIJr2HNiq2ZpBIRFzW1QuW4UeA,OPERATIONAL,"{'lat': 41.3740821, 'lng': 2.1432951}",4.6,2.0,453,"Carrer de l'Àliga, 25, Barcelona"
7,Zero 20,ChIJK3DWFZ2YpBIRNyoOfF3DWfg,OPERATIONAL,"{'lat': 41.3698973, 'lng': 2.1435074}",4.6,,1076,"Carrer d'Indíbil, 6, Barcelona"
8,El Pueblito,ChIJRSJOu12ipBIRlOGvQU43Nck,OPERATIONAL,"{'lat': 41.3736446, 'lng': 2.1454041}",4.1,1.0,145,"Carretera de la Bordeta, 48, Barcelona"
9,La Nova Farga,ChIJOZ2164SYpBIRyYpJGLmc0zQ,OPERATIONAL,"{'lat': 41.3728023, 'lng': 2.1387138}",4.8,1.0,303,"C.d'Almeria, 31, Barcelona"
10,Restaurant Nou Isidre,ChIJgT7kPpuYpBIRF191d_D5MA4,OPERATIONAL,"{'lat': 41.370296, 'lng': 2.1387332}",4.0,1.0,106,"Carrer de Gavà, 85, Barcelona"
11,Devil's Kitchen,ChIJM7FYX16ipBIRBvZKJf6rAx4,OPERATIONAL,"{'lat': 41.3736194, 'lng': 2.1452598}",4.4,1.0,378,"Carretera de la Bordeta, 52, Barcelona"
12,Omu - Kitchen,ChIJ07Px0pSZpBIRILdPapBfXJI,OPERATIONAL,"{'lat': 41.37135929999999, 'lng': 2.1432373}",5.0,,1,"C. de Sant Pere d'Abanto, 7, LOCAL 2, Barcelona"
13,Cervecería Alondra,ChIJh2_Hqy-ZpBIR7RQnN_Rny4I,OPERATIONAL,"{'lat': 41.3704556, 'lng': 2.1435118}",4.7,,11,"Gran Via de les Corts Catalanes, 246, Barcelona"
14,Bar Restaurant La Fuente,ChIJsdtjTZ2YpBIR2ykc5UhKh-U,OPERATIONAL,"{'lat': 41.3712627, 'lng': 2.1445519}",4.2,,89,"Gran Via de les Corts Catalanes, 272, Barcelona"
15,Forno d’Oro,ChIJ-zRaCniipBIRRxqbPhQzGM4,OPERATIONAL,"{'lat': 41.3721385, 'lng': 2.1448575}",4.4,,603,"Gran Via de les Corts Catalanes, 295, 301, Barcelona"
16,La Campana,ChIJG-5KRIKYpBIR5ZkCrcS40i4,OPERATIONAL,"{'lat': 41.37445150000001, 'lng': 2.1433055}",4.4,2.0,1061,"C/ de Vilardell, 30, Barcelona"
17,ALICIA Peruvian cafe and restaurant,ChIJt3KwqJiZpBIROMix0gvh7A8,OPERATIONAL,"{'lat': 41.3707371, 'lng': 2.1439058}",5.0,,2,"Gran Via de les Corts Catalanes, 266, Barcelona"
18,Potro's Bar Restaurant,ChIJVUTI7jaZpBIRxPMjdXdzsy0,OPERATIONAL,"{'lat': 41.369312, 'lng': 2.1392176}",4.8,,205,"Carrer de Viladecans, 5, Barcelona"
19,La Parrilla Gourmet,ChIJmTGwB0CZpBIRL9mRpKYn_sA,OPERATIONAL,"{'lat': 41.3712918, 'lng': 2.1446944}",4.1,1.0,295,"Gran Via de les Corts Catalanes, 274, Barcelona"
20,Restaurante Ca l' Anglés,ChIJ-f-GR4OYpBIRVld4k1oJSU8,OPERATIONAL,"{'lat': 41.372207, 'lng': 2.1412035}",4.5,1.0,269,"Carrer de Gavà, 20, Barcelona"
21,Gava Restaurant,ChIJtVkvUoOYpBIRwr5RzK5Nc6A,OPERATIONAL,"{'lat': 41.3717264, 'lng': 2.1406298}",3.4,,7,"Carrer de Gavà, 40, Barcelona"
22,Brera Gnocchi Bar,ChIJr2HNiq2ZpBIRFzW1QuW4UeA,OPERATIONAL,"{'lat': 41.3740821, 'lng': 2.1432951}",4.6,2.0,453,"Carrer de l'Àliga, 25, Barcelona"
23,MONGOLIAN BBQ,ChIJbcvhLoqZpBIRJ0vf4C7mqV4,OPERATIONAL,"{'lat': 41.3714614, 'lng': 2.1432584}",4.8,,148,"C. de Sant Pere d'Abanto, 7, Barcelona"
24,Bar Ramallo,ChIJg8Mo_oKYpBIRK0XUJZ1Uxe8,OPERATIONAL,"{'lat': 41.3735965, 'lng': 2.1425946}",4.5,1.0,104,"Carrer del Moianès, 58, Barcelona"
25,El Pueblito,ChIJRSJOu12ipBIRlOGvQU43Nck,OPERATIONAL,"{'lat': 41.3736446, 'lng': 2.1454041}",4.1,1.0,145,"Carretera de la Bordeta, 48, Barcelona"
26,Taverna La Parra,ChIJSw4Xk4OYpBIRKrOifZfpUFw,OPERATIONAL,"{'lat': 41.3751113, 'lng': 2.1409411}",4.1,2.0,755,"Carrer de Joanot Martorell, 3, Barcelona"
27,Coto Alto,ChIJPR7c2Z-jpBIRjb83k7T1RgA,OPERATIONAL,"{'lat': 41.3717124, 'lng': 2.1451471}",4.1,,35,"De, Gran Via de les Corts Catalanes, 284, Barcelona"
28,La Campana,ChIJG-5KRIKYpBIR5ZkCrcS40i4,OPERATIONAL,"{'lat': 41.37445150000001, 'lng': 2.1433055}",4.4,2.0,1061,"C/ de Vilardell, 30, Barcelona"
29,Los Mundiales,ChIJ2QTpN52YpBIRjZOYIDY61Vw,OPERATIONAL,"{'lat': 41.3707231, 'lng': 2.1438671}",3.8,1.0,97,"Gran Via de les Corts Catalanes, 264, Barcelona"
30,La Nova Farga,ChIJOZ2164SYpBIRyYpJGLmc0zQ,OPERATIONAL,"{'lat': 41.3728023, 'lng': 2.1387138}",4.8,1.0,303,"C.d'Almeria, 31, Barcelona"
31,Devil's Kitchen,ChIJM7FYX16ipBIRBvZKJf6rAx4,OPERATIONAL,"{'lat': 41.3736194, 'lng': 2.1452598}",4.4,1.0,378,"Carretera de la Bordeta, 52, Barcelona"
32,Mq Restaurante Bar,ChIJIeFC2JyYpBIR617Wuxadjog,OPERATIONAL,"{'lat': 41.3704338, 'lng': 2.1424385}",3.9,1.0,310,"Carrer del Moianès, 2, Barcelona"
33,Arcoiris,ChIJ_3lYOYKYpBIRNEqSHfMfOsw,OPERATIONAL,"{'lat': 41.3742953, 'lng': 2.1441083}",4.5,1.0,100,"Carrer d'Hostafrancs de Sió, 17, Barcelona"
