,name,place_id,business_status,raiting,price_level,total_reviews,direction,latitud,longitud,neightbour
0,Restaurante Can Coca,ChIJUwcqio-YpBIRranOacUHR2o,OPERATIONAL,4.6,1.0,244,"Carrer dels Jocs Florals, 78, Barcelona",41.3730529,2.135068,Sants
1,El Rinconcito del Espino,ChIJW-TUp4-YpBIRLlEDpClK2tI,OPERATIONAL,4.3,1.0,245,"Carrer de Sant Medir, 15, Barcelona",41.373898,2.1333505,Sants
2,Arturo,ChIJ39UxdOIVYA0RUMyAsJv1aRA,OPERATIONAL,4.4,2.0,782,"Carrer de Sagunt, 104, Bajo, TDA 1, Barcelona",41.3733251,2.1362723,Sants
3,El Cullerot de Sants,ChIJ7Qm8VZ6ZpBIRoG7puuQfZ_w,OPERATIONAL,4.7,,371,"Carrer d'Olzinelles, 114, Barcelona",41.3704642,2.1375112,la Bordeta
4,Cafeteria Restaurant Chusa,ChIJoZOZ24-YpBIRDG0Mv7ohC-A,OPERATIONAL,4.6,,5,"Carrer de la Riera de Tena, 42, Barcelona",41.3719201,2.1336589,Sants
5,Bar Restaurante Yohemar,ChIJw9fB0-iZpBIRAeL_bgp6UqM,OPERATIONAL,5.0,,3,"C/ de Finlàndia, 18, Barcelona",41.37434340000001,2.1354332,Sants
6,Can Violí,ChIJo8yDqYWYpBIRGWHUmKKVtgQ,OPERATIONAL,4.1,2.0,1654,"Pl. d'Ibèria, 2, Barcelona",41.3740053,2.1373358,Sants
7,El Rocoto,ChIJVVVVFYSYpBIR8o2QPs34Ruk,OPERATIONAL,4.3,2.0,1869,"Carrer d'Olzinelles, 13, Barcelona",41.3739965,2.136459,Sants
8,LUTE Bar & Bowls,ChIJcXKDBo-YpBIRNixngpG6nCU,OPERATIONAL,4.7,1.0,964,"Carrer de Sant Medir, 9, Barcelona",41.3742688,2.1331938,Sants
9,LAB Restaurant Barcelona - Laboratorio Gastronómico,ChIJC3Px8jOZpBIRelKessc6J7w,OPERATIONAL,4.5,,512,"C/ de Rossend Arús, 12, bajos 2, Barcelona",41.3732972,2.1372761,Sants
10,Resturente Pizzeria Bella&Bouna,ChIJLx4pl76ZpBIR9-OutEuxunc,OPERATIONAL,3.3,,50,"Carrer de Súria, 8, Barcelona",41.3698261,2.1334819,la Bordeta
11,Happy Bar,ChIJmVVR3pqYpBIR3hWtgUt3-cI,OPERATIONAL,2.2,,5,"Carrer d'Olzinelles, 118, Barcelona",41.3703039,2.1375809,la Bordeta
12,Pizzeria Trattoria La Briciola,ChIJ2988C4WYpBIRTcpCg6Eqgk0,OPERATIONAL,4.4,2.0,2731,"Carrer d'Olzinelles, 19, Barcelona",41.3737633,2.1365134,Sants
13,Gurleen Barbacoa,ChIJwRN4cseZpBIRbmpHjIyvKpw,OPERATIONAL,4.6,,67,"Carrer d'Olzinelles, 118 BIS, Barcelona",41.3702659,2.1376293,la Bordeta
14,Bar Granja Rocxi,ChIJ3bujEo-YpBIRnnf9XDaZs5k,OPERATIONAL,4.5,1.0,183,"C/ de Sant Jordi, 15, Barcelona",41.3745171,2.1339795,Sants
15,Bergantí,ChIJRwCl546YpBIR4vzzAKH9qLQ,OPERATIONAL,4.1,1.0,148,"Riera d'Escuder, 25, Barcelona",41.3751421,2.1322596,Sants
16,Can Santi,ChIJdZNfDY-YpBIRJPNiF-Q3QaE,OPERATIONAL,4.3,,21,"C/ de Sant Jordi, 15, Barcelona",41.3745833,2.1339175,Sants
17,Korean Street Food,ChIJP9BKJOKZpBIRK9tTnUj73Tg,OPERATIONAL,4.7,1.0,233,"Carrer d'Olzinelles, 20, Barcelona",41.3734087,2.1364087,Sants
18,Restaurante Pho,ChIJOYEGPa-ZpBIR3-Mhl60wVgA,OPERATIONAL,3.6,,107,"Carrer de Sants, 141, Barcelona",41.3753525,2.133363,Sants
19,BCN doner kebab y pizzeria,ChIJh5ljjGKZpBIR9QLC8v72KhU,OPERATIONAL,4.2,,101,"Carrer d'Olzinelles, n 16, Barcelona",41.3738864,2.1362313,Sants
20,Restaurant Txalaparta,ChIJyxEAPI-YpBIRE9fZUF9sXJM,OPERATIONAL,4.0,2.0,1337,"Carrer de Sants, 146, 152, Barcelona",41.3755496,2.1336369,Sants
21,TanNUR,ChIJKQezjIWYpBIRM__e2RuacFA,OPERATIONAL,3.6,,170,"C/ d'Antoni de Capmany, 84, Barcelona",41.3751104,2.1354983,Sants
22,CalaCa,ChIJLUwMQlKZpBIRt_Wni4I8pHU,OPERATIONAL,5.0,,2,"Carrer de Sants, 71, Barcelona",41.3752166,2.1374079,Sants
23,Kebab Grill,ChIJ9wshC4aYpBIRzPMeUf4pdOk,OPERATIONAL,3.2,,25,"Pg. de Sant Antoni, 7, Barcelona",41.3765977,2.1363607,Sants
24,Bar - Restaurant Pereira,ChIJa-iH24WYpBIRjCe3ROk02oM,OPERATIONAL,3.8,1.0,52,"Carrer d'Alcolea, 19, Barcelona",41.3758638,2.1367695,Sants
25,El Pebrot i el Petit Cargol,ChIJRYv824WYpBIRmRNxIh_tQUA,OPERATIONAL,4.3,2.0,1320,"Carrer d'Alcolea, 18, Barcelona",41.3761105,2.1368246,Sants
26,La Carota,ChIJG9_a0o6YpBIRy_dDpzZdVyI,OPERATIONAL,4.6,1.0,546,"C. del Tenor Masini, 20, Barcelona",41.3764549,2.132259,Sants
27,Sant Bartomeu,ChIJZw1UW4-YpBIRT3ezih5vVOo,OPERATIONAL,3.7,1.0,1258,"Carrer de Sants, 124, Barcelona",41.3755284,2.1346086,Sants
28,Sants Tandoori,ChIJf_F9JrSZpBIRPS7Vyu00Gbg,OPERATIONAL,4.0,1.0,261,"Carrer de Sants, 109, Barcelona",41.3753313,2.134927,Sants
29,Hotdoks,ChIJM406Q4-YpBIR_S2PVVNH5Rc,OPERATIONAL,4.1,1.0,453,"Carrer de Sants, 126, Barcelona",41.3755314,2.134533,Sants
30,Cafè Bar Marengo,ChIJxTSBlIWYpBIRofG6B7j7WIo,OPERATIONAL,3.2,2.0,55,"Carrer d'Olzinelles, 2, Barcelona",41.375107,2.1360861,Sants
31,Bar Galileo,ChIJ9yhL44WYpBIRgFuBVZokDIc,OPERATIONAL,4.0,,23,"C/ de Galileu, 1, Barcelona",41.3761871,2.1357961,Sants
32,Pizzeria Sants,ChIJXeCK9hWZpBIRHZwl68vap_Q,OPERATIONAL,4.1,2.0,896,"C/ de Galileu, 1, Barcelona",41.3761912,2.1358196,Sants
33,Pan&Oli,ChIJs5G7CIaYpBIRJbKjJ-1uWYE,OPERATIONAL,4.5,2.0,564,"C/ de Galileu, 30, Barcelona",41.3766784,2.1357569,Sants
34,Simbad Restaurante,ChIJgYy_cIaYpBIRbbWiVRRDEEI,OPERATIONAL,4.4,1.0,503,"Pg. de Sant Antoni, 15, Barcelona",41.3770482,2.1368782,Sants
35,PORTI BAR,ChIJSYjlFYaYpBIR91DB6OdPZSQ,OPERATIONAL,4.5,1.0,108,"Carrer d'Alcolea, 75, Barcelona",41.3776842,2.1359933,Sants
36,RESTAURANTE EL SAHARA,ChIJwc59_NyZpBIRoJL4klpmygU,OPERATIONAL,4.2,,129,"Pg. de Sant Antoni, 5, Barcelona",41.3765977,2.1363607,Sants
37,Restaurante Putxinel·lis,ChIJiYeq1YWYpBIR-c03Qcu7tic,OPERATIONAL,4.4,1.0,841,"C/ de Salou, 23, Barcelona",41.3762507,2.1373575,Sants
38,Fonda Can Portell,ChIJPf1-eoaYpBIRL9G7K5lv8Wg,OPERATIONAL,4.4,2.0,1327,"Pg. de Sant Antoni, 17, Barcelona",41.3771339,2.1368996,Sants
39,Masaniello Restaurante Pizzeria,ChIJsfs3COmZpBIRDRTKEcVN4Fw,OPERATIONAL,4.7,,253,"C/ de Galileu, 1, Barcelona",41.37622710000001,2.1358145,Sants
40,Bodega La General,ChIJhfH1qYiYpBIREcmqiNZ5JgA,OPERATIONAL,4.5,1.0,383,"Passatge del Vapor Vell, 10, 12 bajos, Barcelona",41.3768684,2.1352612,Sants
41,ORIGEN Restaurante,ChIJocptdn6ZpBIRiGsUWrjyHjQ,OPERATIONAL,4.7,,15,"C/ de Galileu, 85, Barcelona",41.3780247,2.1349688,Sants
42,Restaurant Cabañeros,ChIJoYkl-IaYpBIRjRVlUIlKHEs,OPERATIONAL,4.1,1.0,1073,"Carrer del Vallespir, 17, Barcelona",41.37830870000001,2.137726,Sants
43,Restaurante Carmen,ChIJ7x47WoaYpBIR3TTQ_0d6U4w,OPERATIONAL,4.1,2.0,1024,"C/ de Valladolid, 44, Barcelona",41.378122,2.137285,Sants
44,Restaurant Tapa Tape,ChIJhT843qCZpBIRoK_FijSPWlg,OPERATIONAL,4.0,,103,"Pg. de Sant Antoni, 39, Barcelona",41.3775211,2.1374645,Sants
45,La Tartana,ChIJAZxdtYiYpBIRmT6LCmIQLJE,OPERATIONAL,3.4,1.0,323,"C/ de Joan Güell, 23, Barcelona",41.3767521,2.1339326,Sants
46,La Villa Sants,ChIJu0Wr_IWYpBIROJGP4dNWyT4,OPERATIONAL,4.3,1.0,1259,"Pg. de Sant Antoni, 15, Barcelona",41.3770187,2.1367878,Sants
