index,place_id,dine_in,reservable,serves_beer,serves_wine,vegeterian,takeout,wheel_chair_acc,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,mon_hours
0,ChIJUwcqio-YpBIRranOacUHR2o,Yes,Yes,Yes,Yes,No,Yes,Yes,8:30AM–4:00PM,8:30AM–4:00PM,8:30AM–4:00PM,8:30AM–4:00PM,Closed,Closed,8:30AM–4:00PM
1,ChIJW-TUp4-YpBIRLlEDpClK2tI,Yes,Yes,Yes,Yes,No,Yes,Maybe,9:30AM–11:00PM,9:30AM–11:00PM,9:30AM–11:00PM,9:30AM–11:00PM,9:30AM–11:00PM,9:30AM–4:30PM,9:30AM–4:30PM
2,ChIJ39UxdOIVYA0RUMyAsJv1aRA,Yes,Yes,Yes,Yes,No,Yes,Yes,9:00AM–4:00PM,"9:00AM–4:00PM, 8:30–10:30PM","9:00AM–4:00PM, 8:30–10:30PM","9:00AM–4:00PM, 8:30–10:30PM",1:00–4:00PM,Closed,9:00AM–4:00PM
3,ChIJ7Qm8VZ6ZpBIRoG7puuQfZ_w,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM,9:00AM–5:00PM,Closed,Closed
4,ChIJoZOZ24-YpBIRDG0Mv7ohC-A,Yes,Maybe,Yes,Yes,Maybe,Maybe,Maybe,,,,,,,
5,ChIJw9fB0-iZpBIRAeL_bgp6UqM,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,,,,,,,
6,ChIJo8yDqYWYpBIRGWHUmKKVtgQ,Yes,Yes,Yes,Yes,No,Yes,Yes,6:00PM–12:00AM,6:00PM–12:00AM,6:00PM–12:00AM,6:00PM–1:00AM,6:00PM–1:00AM,6:00PM–12:00AM,6:00PM–12:00AM
7,ChIJVVVVFYSYpBIR8o2QPs34Ruk,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Closed,"1:00–4:30PM, 8:00–11:00PM","1:00–4:30PM, 8:00–11:00PM","1:00–4:30PM, 8:00–11:30PM","1:00–4:30PM, 8:00–11:30PM","1:00–4:30PM, 8:00–11:00PM","1:00–4:30PM, 8:00–11:00PM"
8,ChIJcXKDBo-YpBIRNixngpG6nCU,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Closed,Closed,5:30PM–12:00AM,5:30PM–12:00AM,"12:00–4:30PM, 6:30PM–12:00AM",12:00–4:30PM,5:30PM–12:00AM
9,ChIJC3Px8jOZpBIRelKessc6J7w,Yes,Yes,Yes,Yes,No,No,Yes,Closed,9:00PM–12:00AM,9:00PM–12:00AM,9:00PM–12:00AM,"2:00–4:30PM, 9:00PM–12:00AM",Closed,Closed
10,ChIJLx4pl76ZpBIR9-OutEuxunc,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,12:00PM–2:30AM,12:00PM–2:30AM,12:00PM–2:30AM,12:00PM–2:30AM,12:00PM–2:30AM,12:00PM–2:30AM,12:00–8:00PM
11,ChIJmVVR3pqYpBIR3hWtgUt3-cI,Yes,Maybe,Yes,Yes,No,Yes,Maybe,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM
12,ChIJ2988C4WYpBIRTcpCg6Eqgk0,Yes,Yes,Yes,Yes,No,Yes,No,"1:30–3:00PM, 8:30–11:00PM","1:30–3:00PM, 8:30–11:00PM","1:30–3:00PM, 8:30–11:00PM","1:30–3:00PM, 8:30–11:00PM","1:30–3:00PM, 8:30–11:00PM",Closed,Closed
13,ChIJwRN4cseZpBIRbmpHjIyvKpw,Yes,Yes,Yes,Yes,No,Yes,Yes,11:00AM–2:00AM,11:00AM–2:00AM,11:00AM–2:00AM,11:00AM–3:00AM,11:00AM–3:00AM,11:00AM–3:00AM,11:00AM–2:00AM
14,ChIJ3bujEo-YpBIRnnf9XDaZs5k,Yes,Yes,Yes,Yes,No,Yes,Maybe,7:00AM–6:00PM,7:00AM–6:00PM,7:00AM–6:00PM,7:00AM–6:00PM,7:00AM–4:30PM,Closed,7:00AM–6:00PM
15,ChIJRwCl546YpBIR4vzzAKH9qLQ,Yes,Maybe,Maybe,Maybe,No,Maybe,Maybe,12:00–9:00PM,12:00–9:00PM,12:00–9:00PM,12:00–11:00PM,12:00PM–12:00AM,12:00–8:00PM,12:00–8:00PM
16,ChIJP9BKJOKZpBIRK9tTnUj73Tg,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,"12:30–5:30PM, 7:30PM–12:00AM","12:30–5:30PM, 7:30PM–12:00AM","12:30–5:30PM, 7:30PM–12:00AM","12:30–5:30PM, 7:30PM–12:00AM","12:30–5:30PM, 7:30PM–12:00AM","12:30–5:30PM, 7:30PM–12:00AM","12:30–5:30PM, 7:30PM–12:00AM"
17,ChIJOYEGPa-ZpBIR3-Mhl60wVgA,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,11:30AM–11:30PM,11:30AM–11:30PM,11:30AM–11:30PM,11:30AM–11:30PM,11:30AM–11:30PM,11:30AM–11:30PM,11:31AM–11:30PM
18,ChIJh5ljjGKZpBIR9QLC8v72KhU,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Maybe,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM
19,ChIJyxEAPI-YpBIRE9fZUF9sXJM,Yes,Yes,Yes,Yes,No,Yes,Yes,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00–5:00PM,1:00PM–12:00AM
20,ChIJKQezjIWYpBIRM__e2RuacFA,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Maybe,7:00AM–12:00AM,7:00AM–12:00AM,7:00AM–12:00AM,7:00AM–1:00AM,8:00AM–1:00AM,8:00AM–12:00AM,7:00AM–12:00AM
21,ChIJLUwMQlKZpBIRt_Wni4I8pHU,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,,,,,,,
22,ChIJ9wshC4aYpBIRzPMeUf4pdOk,Yes,Maybe,Maybe,Maybe,Maybe,Yes,Maybe,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–11:00PM,12:00–10:00PM,12:00–11:00PM
23,ChIJa-iH24WYpBIRjCe3ROk02oM,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,10:00AM–10:00PM,10:00AM–10:00PM,10:00AM–10:00PM,10:00AM–11:00PM,10:00AM–10:00PM,"12:00–5:00PM, 6:30–9:00PM",10:00AM–10:00PM
24,ChIJRYv824WYpBIRmRNxIh_tQUA,Yes,Yes,Yes,Yes,No,Yes,Yes,1:00–5:00PM,1:00–5:00PM,"1:00–5:00PM, 9:00–11:30PM","1:00–5:00PM, 9:00–11:30PM",1:00PM–12:00AM,1:00–5:00PM,Closed
25,ChIJG9_a0o6YpBIRy_dDpzZdVyI,Yes,Yes,Yes,Yes,Yes,Maybe,Yes,Closed,Closed,"1:30–4:00PM, 8:30–11:00PM","1:30–4:00PM, 8:30–11:00PM","1:30–4:00PM, 8:30–11:00PM",1:30–4:00PM,"1:30–4:00PM, 8:30–11:00PM"
26,ChIJZw1UW4-YpBIRT3ezih5vVOo,Yes,Yes,Yes,Yes,No,Yes,Yes,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM,7:00AM–1:00AM
27,ChIJf_F9JrSZpBIRPS7Vyu00Gbg,Yes,Yes,Maybe,Maybe,Maybe,Yes,Yes,12:00PM–2:30AM,12:00PM–2:30AM,12:00PM–2:30AM,12:00PM–3:00AM,12:00PM–3:00AM,12:00PM–2:30AM,12:00PM–2:30AM
28,ChIJM406Q4-YpBIR_S2PVVNH5Rc,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,7:00AM–11:30PM,7:00AM–11:30PM,7:00AM–11:30PM,7:00AM–11:30PM,8:00AM–12:30AM,8:00AM–12:30AM,Closed
29,ChIJxTSBlIWYpBIRofG6B7j7WIo,Yes,Maybe,Yes,Yes,Maybe,Yes,Maybe,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–1:00AM,8:00AM–1:00AM,8:00AM–12:00AM,8:00AM–12:00AM
30,ChIJ9yhL44WYpBIRgFuBVZokDIc,Yes,Yes,Yes,Yes,Maybe,Yes,Maybe,10:00AM–12:00AM,10:00AM–12:00AM,10:00AM–12:00AM,10:00AM–12:00AM,10:00AM–12:00AM,10:00AM–12:00AM,10:00AM–12:00AM
31,ChIJXeCK9hWZpBIRHZwl68vap_Q,Yes,Yes,Yes,Yes,Maybe,Yes,Yes,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–12:00AM,12:00PM–1:00AM,12:00PM–1:00AM,12:00PM–12:00AM,12:00PM–12:00AM
32,ChIJs5G7CIaYpBIRJbKjJ-1uWYE,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,1:30–3:30PM,"1:30–3:30PM, 8:30–10:30PM","1:30–3:30PM, 8:30–10:30PM","1:30–3:30PM, 8:30–10:30PM","1:30–3:30PM, 8:30–10:30PM",1:30–3:30PM,Closed
33,ChIJgYy_cIaYpBIRbbWiVRRDEEI,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–1:30AM,1:00PM–1:30AM,1:00PM–12:00AM,1:00PM–12:00AM
