,place_id,dine_in,reservable,serves_beer,serves_wine,vegeterian,takeout,wheel_chair_acc,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours
0,ChIJc56wsmSYpBIRASib7vJlsas,True,True,True,True,False,True,,"12:30–4:30PM, 7:00PM–12:00AM","12:30–4:30PM, 7:00PM–12:00AM","12:30–4:30PM, 7:00PM–12:00AM","12:30–4:30PM, 7:00PM–12:00AM","12:30–4:30PM, 7:00PM–12:00AM","12:30–4:30PM, 7:00PM–12:00AM","12:30–4:30PM, 7:00PM–12:00AM"
1,ChIJIX_1I3uYpBIR-rudezwyMTU,True,True,True,True,,True,True,8:00AM–5:00PM,8:00AM–5:00PM,8:00AM–5:00PM,8:00AM–5:00PM,9:00AM–5:00PM,Closed,8:00AM–5:00PM
2,ChIJ2TRzN1SZpBIRy724_GprAtY,True,True,True,True,,True,True,,,,,,,
3,ChIJtRhfIHuYpBIRBAjEohCsxx8,True,True,True,True,False,True,True,1:00–4:00PM,"1:00–4:00PM, 8:00–11:00PM","1:00–4:00PM, 8:00–11:00PM","1:00–4:00PM, 8:00–11:00PM","1:00–4:00PM, 8:00–11:00PM",1:00–4:00PM,1:00–4:00PM
4,ChIJEbLQKHuYpBIR0FIDT3gJ2zk,True,False,True,True,,True,True,8:00AM–11:00PM,8:00AM–11:00PM,8:00AM–11:00PM,8:00AM–11:00PM,9:00AM–11:00PM,10:00AM–11:00PM,8:00AM–11:00PM
5,ChIJ4dsnzHqYpBIREK1CZBD7qXI,True,,True,,True,True,True,9:30AM–9:30PM,9:30AM–9:30PM,9:30AM–9:30PM,9:30AM–9:30PM,9:30AM–9:30PM,12:00–8:00PM,9:30AM–9:30PM
6,ChIJuaqqqnmYpBIR96fs94i_Y6M,True,True,True,True,False,True,True,"1:00–4:00PM, 7:30–11:00PM","1:00–4:00PM, 7:30–11:00PM","1:00–4:00PM, 7:30–11:00PM","1:00–4:30PM, 7:30–11:30PM","1:00–4:30PM, 7:30–11:30PM","1:00–4:00PM, 7:30–11:00PM","1:00–4:00PM, 7:30–11:00PM"
7,ChIJR2yMyXqYpBIR4xbJRVIKFko,True,True,True,True,,True,True,9:30AM–9:30PM,9:30AM–9:30PM,9:30AM–9:30PM,9:30AM–9:30PM,9:30AM–9:30PM,Closed,9:30AM–9:30PM
8,ChIJ8dRB0nqYpBIRsEFDt6cv2t4,True,True,True,True,,True,True,12:30–9:30PM,12:30–9:30PM,12:30–9:30PM,12:30–10:00PM,12:30–10:00PM,12:30–8:00PM,12:30–9:30PM
9,ChIJm-HbM2WYpBIRNnpgCb4uDKQ,True,,True,True,,True,True,9:00AM–9:30PM,9:00AM–9:30PM,9:00AM–9:30PM,9:00AM–9:30PM,9:00AM–9:30PM,12:00–8:00PM,9:00AM–9:30PM
10,ChIJcZQE3ruZpBIRJKPqtUnopfM,True,,True,True,False,True,True,"1:15–4:00PM, 8:15–11:00PM","1:15–4:00PM, 8:15–11:00PM","1:15–4:00PM, 8:15–11:00PM","1:15–4:00PM, 8:15–11:00PM","1:15–4:00PM, 8:15–11:00PM","1:15–4:00PM, 8:15–11:00PM","1:15–4:00PM, 8:15–11:00PM"
11,ChIJZxT_OWWYpBIRQ3n9zJflwZ4,True,True,True,True,False,True,True,12:00–9:00PM,12:00–9:00PM,12:00–9:00PM,12:00–9:00PM,12:00–9:00PM,Closed,12:00–9:00PM
12,ChIJWXyrdXaZpBIRN1ow6ruiqs8,True,True,True,True,True,True,True,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–12:00AM,8:00AM–1:00AM,8:00AM–1:00AM,Closed,8:00AM–12:00AM
13,ChIJBexatumZpBIR44LhXGznY4Y,True,True,True,True,,True,True,1:00PM–1:00AM,1:00PM–1:00AM,1:00PM–2:30AM,1:00PM–3:00AM,1:00PM–3:00AM,1:00PM–1:00AM,1:00PM–1:00AM
14,ChIJdRtHrfGZpBIRPzQlKYdJLVc,True,True,True,True,True,True,True,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM,12:30PM–12:00AM
15,ChIJR2yMyXqYpBIRG_S_Y71X-as,True,True,True,True,False,True,True,9:30AM–10:00PM,9:30AM–10:00PM,9:30AM–10:00PM,9:30AM–10:00PM,9:30AM–10:00PM,12:00–6:00PM,9:30AM–10:00PM
16,ChIJEY96MmWYpBIR6V5jZ609MHo,True,,,,,True,True,9:30AM–9:30PM,9:30AM–9:30PM,9:30AM–9:30PM,9:30AM–9:30PM,9:30AM–9:30PM,Closed,9:30AM–9:30PM
17,ChIJnznDk3-ZpBIREjmic9vvP70,True,False,True,True,True,True,True,12:30–10:00PM,12:30–10:00PM,12:30–10:00PM,12:30–10:00PM,12:30–10:00PM,12:00–8:00PM,12:30–10:00PM
18,ChIJB-cDjnqYpBIRVjFMQVxl7p8,True,,True,True,True,True,True,12:00–9:30PM,12:00–9:30PM,12:00–9:30PM,12:00–9:30PM,12:00–9:30PM,12:00–7:30PM,12:00–9:30PM
19,ChIJm4HfQWWYpBIRODfgZBjrw34,True,False,True,True,True,True,True,7:30AM–4:30PM,7:30AM–4:30PM,7:30AM–4:30PM,7:30AM–4:30PM,Closed,Closed,7:30AM–4:30PM
20,ChIJR2yMyXqYpBIR4GPIJN4DQHY,True,True,True,True,,True,True,12:30–9:15PM,12:30–9:15PM,12:30–9:15PM,12:30–9:15PM,12:30–9:15PM,12:30–9:15PM,12:30–9:15PM
21,ChIJw8XVK2WYpBIRQFv4FUxGIcs,True,,True,False,True,True,True,8:00AM–11:00PM,8:00AM–11:00PM,8:00AM–11:00PM,8:00AM–11:00PM,9:00AM–11:00PM,10:00AM–11:00PM,8:00AM–11:00PM
22,ChIJw6I3hW-YpBIRPPL6twQMIWk,True,,True,True,False,True,,6:00AM–6:00PM,6:00AM–6:00PM,6:00AM–6:00PM,6:00AM–6:00PM,Closed,Closed,6:00AM–6:00PM
23,ChIJebMIMQ2ZpBIR9PMcepud-oM,True,True,True,True,False,True,True,"1:00–5:00PM, 8:00PM–12:00AM","1:00–5:00PM, 8:00PM–12:00AM","1:00–5:00PM, 8:00PM–2:00AM","1:00–5:00PM, 8:00PM–2:00AM","1:00–5:00PM, 8:00PM–2:00AM",1:00–5:00PM,"1:00–5:00PM, 8:00PM–12:00AM"
24,ChIJRU9koXqYpBIRShvEXWwHR9k,True,True,True,True,False,True,True,"12:30–5:00PM, 8:00PM–1:00AM","12:30–5:00PM, 8:00PM–1:00AM","12:30–5:00PM, 8:00PM–2:00AM","12:30–5:00PM, 8:00PM–2:00AM","12:30–5:00PM, 8:00PM–2:00AM","12:30–5:00PM, 8:00PM–1:00AM","12:30–5:00PM, 8:00PM–1:00AM"
25,ChIJAZLwTWWYpBIRYlgiaEFiI4U,True,True,True,True,True,True,True,"1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM","1:00–4:00PM, 8:00–11:30PM",Closed,"1:00–4:00PM, 8:00–11:30PM"
26,ChIJRczGORSZpBIRs0y3rO0nOoc,True,True,True,True,,True,,12:30–11:30PM,12:30–11:30PM,12:30–11:30PM,12:30PM–12:00AM,12:30PM–12:00AM,12:30–11:30PM,12:30–11:30PM
27,ChIJFYXKDgSZpBIRVAKi0zRStk4,True,,,,True,True,True,9:00AM–4:00PM,9:00AM–4:00PM,9:00AM–4:00PM,9:00AM–4:00PM,Closed,Closed,9:00AM–4:00PM
28,ChIJRzfrYnqYpBIRPBOKdV3a1vM,True,True,True,True,,True,True,"10:00AM–2:30PM, 5:00–8:30PM","10:00AM–2:30PM, 5:00–8:30PM","10:00AM–2:30PM, 5:00–8:30PM","10:00AM–2:30PM, 5:00–8:30PM","10:00AM–2:30PM, 5:00–8:30PM",10:00AM–3:00PM,"10:00AM–2:30PM, 5:00–8:30PM"
29,ChIJxUNniGWYpBIRRLODLxXKAhI,True,True,True,True,False,True,True,1:00–4:30PM,1:00–4:30PM,1:00–4:30PM,1:00–4:30PM,1:00–4:30PM,1:00–4:30PM,Closed
30,ChIJD1vjH3CYpBIRnM9zk7IglF0,True,True,True,True,True,True,True,"1:00–4:00PM, 7:00PM–1:00AM","1:00–4:00PM, 7:00PM–1:00AM","1:00–4:00PM, 7:00PM–1:00AM","1:00–4:00PM, 7:00PM–1:00AM",1:00PM–1:00AM,1:00PM–1:00AM,"1:00–4:00PM, 7:00PM–1:00AM"
31,ChIJ14xfShyZpBIRvwsWDIM_LDk,True,True,True,True,False,True,,7:00AM–12:00AM,7:00AM–12:00AM,7:00AM–12:00AM,7:00AM–12:00AM,7:00AM–12:00AM,Closed,7:00AM–12:00AM
32,ChIJZb_UzHGYpBIR03KP-fCsWIw,True,True,True,True,False,True,True,"1:00–4:00PM, 6:00PM–12:00AM","1:00–4:00PM, 6:00PM–12:00AM","1:00–4:00PM, 6:00PM–12:00AM",1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,"1:00–4:00PM, 6:00PM–12:00AM"
33,ChIJKZ0y426YpBIRWh8EY5tYZQk,True,True,True,True,False,True,True,7:30AM–4:00PM,7:30AM–4:00PM,7:30AM–4:00PM,7:30AM–4:00PM,7:30AM–4:00PM,Closed,7:30AM–4:00PM
34,ChIJFR88InCYpBIRFKYFzERvVkY,True,True,True,True,False,True,True,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:00AM,1:00PM–12:30AM,1:00PM–12:30AM,1:00PM–12:00AM
35,ChIJG8uI43CYpBIRYcdUjQKaYkI,True,True,True,True,False,True,True,"1:00–4:30PM, 8:00–11:30PM","1:00–4:30PM, 8:00–11:30PM","1:00–4:30PM, 8:00–11:30PM","1:00–5:00PM, 8:00PM–12:00AM","1:00–5:00PM, 8:00PM–12:00AM","1:00–5:00PM, 8:00PM–12:00AM","1:00–4:30PM, 8:00–11:30PM"
36,ChIJ0WgGr3GYpBIRkhC4ChBhS3k,True,True,True,True,,True,True,8:00AM–11:00PM,8:00AM–11:00PM,8:00AM–11:00PM,8:00AM–11:00PM,9:00AM–11:00PM,9:00AM–4:00PM,8:00AM–11:00PM
