,name,raiting,price_level,total_reviews,neightbour,distritos,direction,latitud,longitud,url
0,Can Violí,4.1,2.0,1654,Sants,Sants-Montjuïc,"Pl. d'Ibèria, 2, Barcelona",41.3740053,2.1373358,https://maps.google.com/?cid=339623347494347033
1,El Rocoto,4.3,2.0,1869,Sants,Sants-Montjuïc,"Carrer d'Olzinelles, 13, Barcelona",41.3739965,2.136459,https://maps.google.com/?cid=16809396219608600050
2,LUTE Bar & Bowls,4.7,1.0,964,Sants,Sants-Montjuïc,"Carrer de Sant Medir, 9, Barcelona",41.3742688,2.1331938,https://maps.google.com/?cid=2710246209891019830
3,Pizzeria Trattoria La Briciola,4.4,2.0,2731,Sants,Sants-Montjuïc,"Carrer d'Olzinelles, 19, Barcelona",41.3737633,2.1365134,https://maps.google.com/?cid=5585073361073130061
4,Restaurant Txalaparta,4.0,2.0,1337,Sants,Sants-Montjuïc,"Carrer de Sants, 146, 152, Barcelona",41.3755496,2.1336369,https://maps.google.com/?cid=10618481178066933523
5,El Pebrot i el Petit Cargol,4.3,2.0,1320,Sants,Sants-Montjuïc,"Carrer d'Alcolea, 18, Barcelona",41.3761105,2.1368246,https://maps.google.com/?cid=4630242609891185561
6,Sant Bartomeu,3.7,1.0,1258,Sants,Sants-Montjuïc,"Carrer de Sants, 124, Barcelona",41.3755284,2.1346086,https://maps.google.com/?cid=16885243079885551439
7,Pizzeria Sants,4.1,2.0,896,Sants,Sants-Montjuïc,"C/ de Galileu, 1, Barcelona",41.3761912,2.1358196,https://maps.google.com/?cid=17629299835723422749
8,Pizzeria Sants,4.1,2.0,896,Sants,Sants-Montjuïc,"C/ de Galileu, 1, Barcelona",41.3761912,2.1358196,https://maps.google.com/?cid=17629299835723422749
9,Pizzeria Sants,4.1,2.0,896,Sants,Sants-Montjuïc,"C/ de Galileu, 1, Barcelona",41.3761912,2.1358196,https://maps.google.com/?cid=17629299835723422749
